LP;Time;Artist;Title
1;;;
2;23.10.2020 23:31;b'To co czujesz to co wiesz';b'Brygada Kryzys'
3;23.10.2020 23:37;b'Anarchy In The UK';b'Sex Pistols'
4;23.10.2020 23:41;b'Tequila';b'Terrorvision'
5;23.10.2020 23:42;b'Tequila';b'Terrorvision'
6;23.10.2020 23:43;b'Tequila';b'Terrorvision'
7;23.10.2020 23:51;b'Rough boy';b'ZZ Top'
8;24.10.2020 00:32;b'This is not America';b'David Bowie'
9;25.02.2021 22:50;b'';b''
10;26.02.2021 22:06;"b""Like it's her birthday""";b'Good Charlotte'
2;26.02.2021 22:08;"b""Don't wanna fight""";b'Alabama Shakes'
3;26.02.2021 22:12;b'Avalanche';b'Bring Me The Horizon'
4;26.02.2021 22:12;Avalanche;b'Bring Me The Horizon'
5;26.02.2021 22:13;Avalanche;Bring Me The Horizon
6;26.02.2021 22:31;Zaufaj;Afromental
7;26.02.2021 22:40;Deep six ;Marilyn Manson
8;26.02.2021 23:21;Don't (Stop);The Rolling Stones
9;26.02.2021 23:35;How soon is now?;The Smiths
10;26.02.2021 23:36;How soon is now?;The Smiths
2;26.02.2021 23:36;How soon is now?;The Smiths
3;26.02.2021 23:41;How soon is now?;The Smiths
4;26.02.2021 23:41;How soon is now?;The Smiths
5;26.02.2021 23:46;Can't stop lovin' you;Van Halen
6;26.02.2021 23:46;Can't stop lovin' you;Van Halen
7;26.02.2021 23:47;Can't stop lovin' you;Van Halen
8;05.03.2021 16:53;;
9;05.03.2021 16:55;Zimne kraje;Muchy
10;05.03.2021 16:57;Zimne kraje;Muchy
2;05.03.2021 17:00;Dog on a leash;Adelita's Way
3;05.03.2021 17:00;;
4;05.03.2021 17:02;;
5;05.03.2021 17:02;;
6;05.03.2021 17:06;Celebrity skin;Hole
7;05.03.2021 17:06;Celebrity skin;Hole
8;05.03.2021 17:29;Dying to live;Sevendust
9;05.03.2021 17:30;Dying to live;Sevendust
10;05.03.2021 17:37;Iris;The Goo Goo Dolls
2;05.03.2021 17:37;Iris;The Goo Goo Dolls
3;05.03.2021 17:37;Iris;The Goo Goo Dolls
4;05.03.2021 17:38;Iris;The Goo Goo Dolls
5;05.03.2021 22:34;Malfire;Refused
6;05.03.2021 22:36;Malfire;Refused
7;05.03.2021 22:42;Alright;Cast
8;05.03.2021 22:43;Alright;Cast
9;05.03.2021 22:43;Search and destroy;30 Seconds to Mars
10;05.03.2021 22:56;Late at night;Electronic
2;05.03.2021 22:58;Late at night;Electronic
3;06.03.2021 22:21;Back in black;Santana feat. NAS
4;06.03.2021 22:22;Back in black;Santana feat. NAS
5;06.03.2021 22:23;Back in black;Santana feat. NAS
6;06.03.2021 22:23;Back in black;Santana feat. NAS
7;06.03.2021 22:29;Rise;Sixx A.M.
8;06.03.2021 22:34;Strach XXI wieku;Dr Misio
9;06.03.2021 22:38;She's my winona;Fall Out Boy
10;06-03-2021 22:40:31;Break on through (to the other side);The Doors
2;06-03-2021 22:43:57;Horyzont;Bruno Schulz
3;06-03-2021 22:54:55;Nie m�wi� g�o�no;Irena
4;06-03-2021 22:55:05;Nie m�wi� g�o�no;Irena
5;06-03-2021 22:56:07;Nie m�wi� g�o�no;Irena
6;06-03-2021 22:57:35;After the disco;Broken Bells
7;06-03-2021 23:00:51;When did your heart go missing?;Rooney
8;06-03-2021 23:06:19;Unconditional;The Bravery
9;06-03-2021 23:08:00;She's a genius;Jet
10;06-03-2021 23:10:38;Zep!;Hanza
2;06-03-2021 23:15:06;Warrior;Disturbed
3;06-03-2021 23:18:06;Self destructor;Chevelle
4;06-03-2021 23:23:42;Right Here in My Arms;H.I.M.
5;06-03-2021 23:27:42;Suma ran;Power Of Trinity
6;06-03-2021 23:30:15;Wish I knew you;The Revivalists
